SET|PARTICIPANT|TIMESTAMP|SOURCE|X|Y|Z|TYPE|ACTIVITY|IS_FALL
stairs|7|2023-02-01 13:39:19.004|TAG|-0.976|-0.371|-0.023|A|5|0
stairs|7|2023-02-01 13:39:19.011|TAG|-0.968|-0.375|-0.035|A|5|0
stairs|7|2023-02-01 13:39:19.019|TAG|-0.976|-0.375|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.027|TAG|-0.968|-0.371|-0.031|A|5|0
stairs|7|2023-02-01 13:39:19.035|TAG|-0.964|-0.39|-0.05|A|5|0
stairs|7|2023-02-01 13:39:19.042|TAG|-0.96|-0.367|-0.05|A|5|0
stairs|7|2023-02-01 13:39:19.050|TAG|-0.949|-0.398|-0.05|A|5|0
stairs|7|2023-02-01 13:39:19.058|TAG|-0.945|-0.39|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.066|TAG|-0.949|-0.417|-0.042|A|5|0
stairs|7|2023-02-01 13:39:19.074|TAG|-0.933|-0.414|-0.05|A|5|0
stairs|7|2023-02-01 13:39:19.082|TAG|-0.921|-0.41|-0.039|A|5|0
stairs|7|2023-02-01 13:39:19.089|TAG|-0.941|-0.406|-0.031|A|5|0
stairs|7|2023-02-01 13:39:19.097|TAG|-0.933|-0.41|-0.023|A|5|0
stairs|7|2023-02-01 13:39:19.105|TAG|-0.925|-0.398|-0.019|A|5|0
stairs|7|2023-02-01 13:39:19.113|TAG|-0.914|-0.398|-0.035|A|5|0
stairs|7|2023-02-01 13:39:19.121|TAG|-0.906|-0.406|-0.027|A|5|0
stairs|7|2023-02-01 13:39:19.128|TAG|-0.91|-0.402|-0.031|A|5|0
stairs|7|2023-02-01 13:39:19.136|TAG|-0.917|-0.406|-0.031|A|5|0
stairs|7|2023-02-01 13:39:19.144|TAG|-0.91|-0.394|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.152|TAG|-0.91|-0.386|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.160|TAG|-0.906|-0.39|-0.058|A|5|0
stairs|7|2023-02-01 13:39:19.168|TAG|-0.921|-0.382|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.175|TAG|-0.929|-0.39|-0.054|A|5|0
stairs|7|2023-02-01 13:39:19.183|TAG|-0.921|-0.39|-0.054|A|5|0
stairs|7|2023-02-01 13:39:19.191|TAG|-0.929|-0.402|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.199|TAG|-0.921|-0.386|-0.05|A|5|0
stairs|7|2023-02-01 13:39:19.206|TAG|-0.925|-0.394|-0.05|A|5|0
stairs|7|2023-02-01 13:39:19.214|TAG|-0.925|-0.371|-0.058|A|5|0
stairs|7|2023-02-01 13:39:19.222|TAG|-0.921|-0.371|-0.039|A|5|0
stairs|7|2023-02-01 13:39:19.230|TAG|-0.933|-0.382|-0.035|A|5|0
stairs|7|2023-02-01 13:39:19.238|TAG|-0.933|-0.39|-0.035|A|5|0
stairs|7|2023-02-01 13:39:19.246|TAG|-0.925|-0.406|-0.054|A|5|0
stairs|7|2023-02-01 13:39:19.253|TAG|-0.914|-0.414|-0.066|A|5|0
stairs|7|2023-02-01 13:39:19.261|TAG|-0.929|-0.406|-0.062|A|5|0
stairs|7|2023-02-01 13:39:19.269|TAG|-0.925|-0.402|-0.07|A|5|0
stairs|7|2023-02-01 13:39:19.277|TAG|-0.941|-0.398|-0.05|A|5|0
stairs|7|2023-02-01 13:39:19.285|TAG|-0.933|-0.39|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.293|TAG|-0.933|-0.414|-0.07|A|5|0
stairs|7|2023-02-01 13:39:19.300|TAG|-0.929|-0.41|-0.062|A|5|0
stairs|7|2023-02-01 13:39:19.308|TAG|-0.914|-0.398|-0.058|A|5|0
stairs|7|2023-02-01 13:39:19.317|TAG|-0.937|-0.406|-0.05|A|5|0
stairs|7|2023-02-01 13:39:19.324|TAG|-0.921|-0.41|-0.07|A|5|0
stairs|7|2023-02-01 13:39:19.332|TAG|-0.91|-0.394|-0.062|A|5|0
stairs|7|2023-02-01 13:39:19.339|TAG|-0.929|-0.386|-0.058|A|5|0
stairs|7|2023-02-01 13:39:19.347|TAG|-0.941|-0.382|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.355|TAG|-0.941|-0.382|-0.054|A|5|0
stairs|7|2023-02-01 13:39:19.363|TAG|-0.933|-0.371|-0.054|A|5|0
stairs|7|2023-02-01 13:39:19.371|TAG|-0.91|-0.371|-0.05|A|5|0
stairs|7|2023-02-01 13:39:19.379|TAG|-0.925|-0.371|-0.054|A|5|0
stairs|7|2023-02-01 13:39:19.386|TAG|-0.937|-0.359|-0.058|A|5|0
stairs|7|2023-02-01 13:39:19.394|TAG|-0.91|-0.351|-0.058|A|5|0
stairs|7|2023-02-01 13:39:19.402|TAG|-0.921|-0.355|-0.082|A|5|0
stairs|7|2023-02-01 13:39:19.410|TAG|-0.917|-0.359|-0.078|A|5|0
stairs|7|2023-02-01 13:39:19.417|TAG|-0.917|-0.375|-0.093|A|5|0
stairs|7|2023-02-01 13:39:19.425|TAG|-0.917|-0.382|-0.093|A|5|0
stairs|7|2023-02-01 13:39:19.433|TAG|-0.921|-0.386|-0.109|A|5|0
stairs|7|2023-02-01 13:39:19.441|TAG|-0.925|-0.386|-0.121|A|5|0
stairs|7|2023-02-01 13:39:19.450|TAG|-0.933|-0.378|-0.117|A|5|0
stairs|7|2023-02-01 13:39:19.457|TAG|-0.949|-0.371|-0.117|A|5|0
stairs|7|2023-02-01 13:39:19.464|TAG|-0.949|-0.398|-0.121|A|5|0
stairs|7|2023-02-01 13:39:19.472|TAG|-0.968|-0.378|-0.117|A|5|0
stairs|7|2023-02-01 13:39:19.480|TAG|-0.953|-0.359|-0.097|A|5|0
stairs|7|2023-02-01 13:39:19.488|TAG|-0.96|-0.351|-0.101|A|5|0
stairs|7|2023-02-01 13:39:19.496|TAG|-0.96|-0.347|-0.109|A|5|0
stairs|7|2023-02-01 13:39:19.504|TAG|-0.953|-0.328|-0.105|A|5|0
stairs|7|2023-02-01 13:39:19.511|TAG|-0.949|-0.351|-0.101|A|5|0
stairs|7|2023-02-01 13:39:19.519|TAG|-0.949|-0.335|-0.101|A|5|0
stairs|7|2023-02-01 13:39:19.527|TAG|-0.937|-0.347|-0.093|A|5|0
stairs|7|2023-02-01 13:39:19.535|TAG|-0.949|-0.343|-0.113|A|5|0
stairs|7|2023-02-01 13:39:19.543|TAG|-0.957|-0.339|-0.101|A|5|0
stairs|7|2023-02-01 13:39:19.550|TAG|-0.96|-0.347|-0.101|A|5|0
stairs|7|2023-02-01 13:39:19.558|TAG|-0.96|-0.359|-0.117|A|5|0
stairs|7|2023-02-01 13:39:19.566|TAG|-0.968|-0.355|-0.128|A|5|0
stairs|7|2023-02-01 13:39:19.574|TAG|-0.968|-0.359|-0.121|A|5|0
stairs|7|2023-02-01 13:39:19.582|TAG|-0.988|-0.367|-0.109|A|5|0
stairs|7|2023-02-01 13:39:19.589|TAG|-0.988|-0.371|-0.128|A|5|0
stairs|7|2023-02-01 13:39:19.597|TAG|-1|-0.375|-0.101|A|5|0
stairs|7|2023-02-01 13:39:19.605|TAG|-1.019|-0.375|-0.074|A|5|0
stairs|7|2023-02-01 13:39:19.613|TAG|-1.031|-0.363|-0.07|A|5|0
stairs|7|2023-02-01 13:39:19.621|TAG|-1.031|-0.359|-0.066|A|5|0
stairs|7|2023-02-01 13:39:19.628|TAG|-1.039|-0.343|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.636|TAG|-1.031|-0.328|-0.039|A|5|0
stairs|7|2023-02-01 13:39:19.644|TAG|-1.023|-0.316|-0.031|A|5|0
stairs|7|2023-02-01 13:39:19.652|TAG|-0.996|-0.312|-0.019|A|5|0
stairs|7|2023-02-01 13:39:19.660|TAG|-1.011|-0.285|-0.039|A|5|0
stairs|7|2023-02-01 13:39:19.668|TAG|-0.992|-0.292|-0.062|A|5|0
stairs|7|2023-02-01 13:39:19.675|TAG|-0.957|-0.277|-0.062|A|5|0
stairs|7|2023-02-01 13:39:19.683|TAG|-0.957|-0.261|-0.078|A|5|0
stairs|7|2023-02-01 13:39:19.691|TAG|-0.929|-0.257|-0.062|A|5|0
stairs|7|2023-02-01 13:39:19.699|TAG|-0.925|-0.25|-0.074|A|5|0
stairs|7|2023-02-01 13:39:19.707|TAG|-0.91|-0.246|-0.078|A|5|0
stairs|7|2023-02-01 13:39:19.714|TAG|-0.906|-0.234|-0.082|A|5|0
stairs|7|2023-02-01 13:39:19.722|TAG|-0.906|-0.238|-0.074|A|5|0
stairs|7|2023-02-01 13:39:19.730|TAG|-0.89|-0.234|-0.082|A|5|0
stairs|7|2023-02-01 13:39:19.738|TAG|-0.902|-0.234|-0.066|A|5|0
stairs|7|2023-02-01 13:39:19.746|TAG|-0.878|-0.253|-0.054|A|5|0
stairs|7|2023-02-01 13:39:19.753|TAG|-0.91|-0.257|-0.058|A|5|0
stairs|7|2023-02-01 13:39:19.761|TAG|-0.917|-0.273|-0.058|A|5|0
stairs|7|2023-02-01 13:39:19.769|TAG|-0.906|-0.281|-0.05|A|5|0
stairs|7|2023-02-01 13:39:19.777|TAG|-0.937|-0.285|-0.039|A|5|0
stairs|7|2023-02-01 13:39:19.787|TAG|-0.941|-0.281|-0.023|A|5|0
stairs|7|2023-02-01 13:39:19.793|TAG|-0.964|-0.277|-0.015|A|5|0
stairs|7|2023-02-01 13:39:19.800|TAG|-0.96|-0.285|-0.007|A|5|0
stairs|7|2023-02-01 13:39:19.808|TAG|-0.976|-0.304|0.003|A|5|0
stairs|7|2023-02-01 13:39:19.816|TAG|-0.984|-0.285|-0.007|A|5|0
stairs|7|2023-02-01 13:39:19.824|TAG|-0.972|-0.292|0|A|5|0
stairs|7|2023-02-01 13:39:19.832|TAG|-0.972|-0.277|0.007|A|5|0
stairs|7|2023-02-01 13:39:19.839|TAG|-0.98|-0.289|-0.003|A|5|0
stairs|7|2023-02-01 13:39:19.847|TAG|-0.957|-0.292|0|A|5|0
stairs|7|2023-02-01 13:39:19.855|TAG|-0.96|-0.285|-0.023|A|5|0
stairs|7|2023-02-01 13:39:19.863|TAG|-0.949|-0.289|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.871|TAG|-0.914|-0.285|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.879|TAG|-0.902|-0.281|-0.046|A|5|0
stairs|7|2023-02-01 13:39:19.886|TAG|-0.906|-0.285|-0.058|A|5|0
stairs|7|2023-02-01 13:39:19.894|TAG|-0.902|-0.273|-0.046|A|5|0
