SET|PARTICIPANT|TIMESTAMP|SOURCE|X|Y|Z|TYPE|ACTIVITY|IS_FALL
stairs|8|2023-02-01 13:56:27.005|TAG|-1.171|-0.46|0.14|A|6|0
stairs|8|2023-02-01 13:56:27.013|TAG|-1.3|-0.5|0.113|A|6|0
stairs|8|2023-02-01 13:56:27.021|TAG|-1.355|-0.488|0.089|A|6|0
stairs|8|2023-02-01 13:56:27.029|TAG|-1.316|-0.496|0|A|6|0
stairs|8|2023-02-01 13:56:27.037|TAG|-1.23|-0.546|-0.019|A|6|0
stairs|8|2023-02-01 13:56:27.044|TAG|-1.187|-0.542|0.046|A|6|0
stairs|8|2023-02-01 13:56:27.052|TAG|-1.156|-0.562|0.054|A|6|0
stairs|8|2023-02-01 13:56:27.061|TAG|-1.117|-0.554|0.074|A|6|0
stairs|8|2023-02-01 13:56:27.068|TAG|-1.062|-0.539|0.082|A|6|0
stairs|8|2023-02-01 13:56:27.076|TAG|-1.027|-0.546|0.097|A|6|0
stairs|8|2023-02-01 13:56:27.084|TAG|-0.992|-0.546|0.058|A|6|0
stairs|8|2023-02-01 13:56:27.091|TAG|-0.949|-0.515|0.039|A|6|0
stairs|8|2023-02-01 13:56:27.099|TAG|-0.91|-0.492|0|A|6|0
stairs|8|2023-02-01 13:56:27.107|TAG|-0.921|-0.484|-0.019|A|6|0
stairs|8|2023-02-01 13:56:27.115|TAG|-0.914|-0.46|-0.027|A|6|0
stairs|8|2023-02-01 13:56:27.122|TAG|-0.898|-0.464|-0.015|A|6|0
stairs|8|2023-02-01 13:56:27.130|TAG|-0.886|-0.453|-0.003|A|6|0
stairs|8|2023-02-01 13:56:27.138|TAG|-0.902|-0.449|0.035|A|6|0
stairs|8|2023-02-01 13:56:27.146|TAG|-0.91|-0.453|0.05|A|6|0
stairs|8|2023-02-01 13:56:27.154|TAG|-0.937|-0.48|0.058|A|6|0
stairs|8|2023-02-01 13:56:27.161|TAG|-0.957|-0.5|0.062|A|6|0
stairs|8|2023-02-01 13:56:27.169|TAG|-0.945|-0.503|0.066|A|6|0
stairs|8|2023-02-01 13:56:27.177|TAG|-0.929|-0.507|0.07|A|6|0
stairs|8|2023-02-01 13:56:27.185|TAG|-0.894|-0.523|0.074|A|6|0
stairs|8|2023-02-01 13:56:27.193|TAG|-0.875|-0.535|0.097|A|6|0
stairs|8|2023-02-01 13:56:27.201|TAG|-0.875|-0.554|0.16|A|6|0
stairs|8|2023-02-01 13:56:27.208|TAG|-0.832|-0.57|0.195|A|6|0
stairs|8|2023-02-01 13:56:27.216|TAG|-0.761|-0.519|0.214|A|6|0
stairs|8|2023-02-01 13:56:27.224|TAG|-0.671|-0.417|0.167|A|6|0
stairs|8|2023-02-01 13:56:27.232|TAG|-0.617|-0.359|0.097|A|6|0
stairs|8|2023-02-01 13:56:27.240|TAG|-0.515|-0.328|0.039|A|6|0
stairs|8|2023-02-01 13:56:27.247|TAG|-0.519|-0.343|-0.085|A|6|0
stairs|8|2023-02-01 13:56:27.255|TAG|-0.554|-0.429|-0.312|A|6|0
stairs|8|2023-02-01 13:56:27.263|TAG|-0.597|-0.566|-0.386|A|6|0
stairs|8|2023-02-01 13:56:27.271|TAG|-0.648|-0.609|-0.308|A|6|0
stairs|8|2023-02-01 13:56:27.279|TAG|-0.671|-0.625|-0.136|A|6|0
stairs|8|2023-02-01 13:56:27.287|TAG|-0.679|-0.636|-0.031|A|6|0
stairs|8|2023-02-01 13:56:27.294|TAG|-0.707|-0.582|0.015|A|6|0
stairs|8|2023-02-01 13:56:27.302|TAG|-0.714|-0.496|0.039|A|6|0
stairs|8|2023-02-01 13:56:27.310|TAG|-0.703|-0.437|0.042|A|6|0
stairs|8|2023-02-01 13:56:27.318|TAG|-0.71|-0.355|0.066|A|6|0
stairs|8|2023-02-01 13:56:27.326|TAG|-0.757|-0.32|0.015|A|6|0
stairs|8|2023-02-01 13:56:27.333|TAG|-0.875|-0.355|-0.007|A|6|0
stairs|8|2023-02-01 13:56:27.341|TAG|-0.98|-0.378|-0.023|A|6|0
stairs|8|2023-02-01 13:56:27.349|TAG|-1.078|-0.417|-0.007|A|6|0
stairs|8|2023-02-01 13:56:27.357|TAG|-1.21|-0.46|0.046|A|6|0
stairs|8|2023-02-01 13:56:27.365|TAG|-1.312|-0.492|0.039|A|6|0
stairs|8|2023-02-01 13:56:27.373|TAG|-1.312|-0.542|0.046|A|6|0
stairs|8|2023-02-01 13:56:27.380|TAG|-1.203|-0.542|0.117|A|6|0
stairs|8|2023-02-01 13:56:27.388|TAG|-1.144|-0.55|0.144|A|6|0
stairs|8|2023-02-01 13:56:27.397|TAG|-1.046|-0.5|0.14|A|6|0
stairs|8|2023-02-01 13:56:27.404|TAG|-1|-0.476|0.062|A|6|0
stairs|8|2023-02-01 13:56:27.411|TAG|-0.957|-0.437|0.023|A|6|0
stairs|8|2023-02-01 13:56:27.419|TAG|-0.945|-0.46|0.007|A|6|0
stairs|8|2023-02-01 13:56:27.427|TAG|-0.929|-0.417|0.07|A|6|0
stairs|8|2023-02-01 13:56:27.435|TAG|-0.902|-0.378|0.054|A|6|0
stairs|8|2023-02-01 13:56:27.443|TAG|-0.937|-0.355|-0.023|A|6|0
stairs|8|2023-02-01 13:56:27.451|TAG|-0.859|-0.359|-0.046|A|6|0
stairs|8|2023-02-01 13:56:27.458|TAG|-0.914|-0.312|-0.019|A|6|0
stairs|8|2023-02-01 13:56:27.466|TAG|-0.796|-0.343|0.019|A|6|0
stairs|8|2023-02-01 13:56:27.474|TAG|-0.726|-0.324|-0.027|A|6|0
stairs|8|2023-02-01 13:56:27.482|TAG|-0.656|-0.312|-0.011|A|6|0
stairs|8|2023-02-01 13:56:27.490|TAG|-0.593|-0.32|-0.082|A|6|0
stairs|8|2023-02-01 13:56:27.497|TAG|-0.605|-0.324|-0.062|A|6|0
stairs|8|2023-02-01 13:56:27.505|TAG|-0.687|-0.339|-0.05|A|6|0
stairs|8|2023-02-01 13:56:27.513|TAG|-0.765|-0.339|0.003|A|6|0
stairs|8|2023-02-01 13:56:27.521|TAG|-0.832|-0.355|0.007|A|6|0
stairs|8|2023-02-01 13:56:27.530|TAG|-0.867|-0.382|-0.027|A|6|0
stairs|8|2023-02-01 13:56:27.537|TAG|-0.835|-0.371|-0.07|A|6|0
stairs|8|2023-02-01 13:56:27.544|TAG|-0.753|-0.355|-0.105|A|6|0
stairs|8|2023-02-01 13:56:27.552|TAG|-0.664|-0.363|-0.125|A|6|0
stairs|8|2023-02-01 13:56:27.560|TAG|-0.613|-0.359|-0.152|A|6|0
stairs|8|2023-02-01 13:56:27.568|TAG|-0.546|-0.382|-0.152|A|6|0
stairs|8|2023-02-01 13:56:27.576|TAG|-0.507|-0.433|-0.195|A|6|0
stairs|8|2023-02-01 13:56:27.583|TAG|-0.468|-0.394|-0.136|A|6|0
stairs|8|2023-02-01 13:56:27.591|TAG|-0.433|-0.476|-0.14|A|6|0
stairs|8|2023-02-01 13:56:27.600|TAG|-0.421|-0.449|-0.105|A|6|0
stairs|8|2023-02-01 13:56:27.607|TAG|-0.394|-0.433|-0.031|A|6|0
stairs|8|2023-02-01 13:56:27.615|TAG|-0.367|-0.394|-0.011|A|6|0
stairs|8|2023-02-01 13:56:27.622|TAG|-0.292|-0.332|-0.007|A|6|0
stairs|8|2023-02-01 13:56:27.630|TAG|-0.222|-0.281|-0.011|A|6|0
stairs|8|2023-02-01 13:56:27.638|TAG|-0.117|-0.242|-0.003|A|6|0
stairs|8|2023-02-01 13:56:27.646|TAG|-0.054|-0.21|0.003|A|6|0
stairs|8|2023-02-01 13:56:27.654|TAG|-0.007|-0.179|-0.007|A|6|0
stairs|8|2023-02-01 13:56:27.662|TAG|0.054|-0.093|-0.015|A|6|0
stairs|8|2023-02-01 13:56:27.669|TAG|0.074|-0.062|0.062|A|6|0
stairs|8|2023-02-01 13:56:27.677|TAG|0.082|-0.128|0.089|A|6|0
stairs|8|2023-02-01 13:56:27.685|TAG|0.031|-0.113|0.121|A|6|0
stairs|8|2023-02-01 13:56:27.693|TAG|-0.039|-0.152|0.015|A|6|0
stairs|8|2023-02-01 13:56:27.701|TAG|-0.125|-0.269|-0.148|A|6|0
stairs|8|2023-02-01 13:56:27.709|TAG|-0.277|-0.402|-0.312|A|6|0
stairs|8|2023-02-01 13:56:27.716|TAG|-0.574|-0.382|-0.253|A|6|0
stairs|8|2023-02-01 13:56:27.724|TAG|-1.089|-0.355|-0.011|A|6|0
stairs|8|2023-02-01 13:56:27.732|TAG|-1.511|-0.398|0.308|A|6|0
stairs|8|2023-02-01 13:56:27.740|TAG|-1.738|-0.332|0.402|A|6|0
stairs|8|2023-02-01 13:56:27.748|TAG|-2.011|-0.179|0.152|A|6|0
stairs|8|2023-02-01 13:56:27.755|TAG|-2.238|-0.242|-0.097|A|6|0
stairs|8|2023-02-01 13:56:27.763|TAG|-2.433|-0.21|-0.328|A|6|0
stairs|8|2023-02-01 13:56:27.771|TAG|-2.48|-0.48|0.027|A|6|0
stairs|8|2023-02-01 13:56:27.779|TAG|-2.453|-0.652|0.179|A|6|0
stairs|8|2023-02-01 13:56:27.787|TAG|-2.156|-0.8|0.792|A|6|0
stairs|8|2023-02-01 13:56:27.795|TAG|-1.796|-0.882|0.683|A|6|0
stairs|8|2023-02-01 13:56:27.802|TAG|-1.71|-0.792|0.46|A|6|0
stairs|8|2023-02-01 13:56:27.810|TAG|-1.48|-0.976|0.214|A|6|0
stairs|8|2023-02-01 13:56:27.818|TAG|-1.066|-1.093|0.101|A|6|0
stairs|8|2023-02-01 13:56:27.826|TAG|-0.753|-1.074|0.16|A|6|0
stairs|8|2023-02-01 13:56:27.833|TAG|-0.593|-0.945|0.289|A|6|0
stairs|8|2023-02-01 13:56:27.841|TAG|-0.625|-0.722|0.457|A|6|0
stairs|8|2023-02-01 13:56:27.849|TAG|-0.617|-0.73|0.492|A|6|0
stairs|8|2023-02-01 13:56:27.857|TAG|-0.777|-0.726|0.339|A|6|0
stairs|8|2023-02-01 13:56:27.865|TAG|-0.796|-0.64|0.316|A|6|0
stairs|8|2023-02-01 13:56:27.873|TAG|-0.785|-0.562|0.277|A|6|0
stairs|8|2023-02-01 13:56:27.880|TAG|-0.742|-0.441|0.246|A|6|0
stairs|8|2023-02-01 13:56:27.888|TAG|-0.675|-0.39|0.289|A|6|0
stairs|8|2023-02-01 13:56:27.896|TAG|-0.648|-0.355|0.156|A|6|0
stairs|8|2023-02-01 13:56:27.904|TAG|-0.667|-0.328|0.097|A|6|0
stairs|8|2023-02-01 13:56:27.911|TAG|-0.593|-0.234|0.023|A|6|0
stairs|8|2023-02-01 13:56:27.919|TAG|-0.421|-0.109|-0.027|A|6|0
stairs|8|2023-02-01 13:56:27.927|TAG|-0.269|-0.011|-0.011|A|6|0
stairs|8|2023-02-01 13:56:27.936|TAG|-0.226|0.089|-0.011|A|6|0
stairs|8|2023-02-01 13:56:27.943|TAG|-0.222|0.195|-0.074|A|6|0
stairs|8|2023-02-01 13:56:27.951|TAG|-0.226|0.179|-0.25|A|6|0
stairs|8|2023-02-01 13:56:27.958|TAG|-0.21|0.023|-0.476|A|6|0
stairs|8|2023-02-01 13:56:27.966|TAG|-0.136|-0.125|-0.601|A|6|0
stairs|8|2023-02-01 13:56:27.974|TAG|-0.085|-0.167|-0.671|A|6|0
stairs|8|2023-02-01 13:56:27.982|TAG|-0.144|-0.363|-0.722|A|6|0
stairs|8|2023-02-01 13:56:27.990|TAG|-0.386|-0.468|-0.96|A|6|0
stairs|8|2023-02-01 13:56:27.998|TAG|-0.742|-1.05|-1.234|A|6|0
stairs|8|2023-02-01 13:56:28.005|TAG|-1.378|-1.843|-1.925|A|6|0
stairs|8|2023-02-01 13:56:28.013|TAG|-2.5|-2.347|-1.585|A|6|0
stairs|8|2023-02-01 13:56:28.021|TAG|-2.507|-2.832|1.781|A|6|0
stairs|8|2023-02-01 13:56:28.029|TAG|-2.492|-2.445|2.687|A|6|0
stairs|8|2023-02-01 13:56:28.037|TAG|-2.078|-1.812|1.695|A|6|0
stairs|8|2023-02-01 13:56:28.044|TAG|-1.847|-1.199|0.414|A|6|0
stairs|8|2023-02-01 13:56:28.052|TAG|-1.89|-0.425|-0.417|A|6|0
stairs|8|2023-02-01 13:56:28.060|TAG|-1.792|-0.16|-0.566|A|6|0
stairs|8|2023-02-01 13:56:28.069|TAG|-1.863|-0.125|0.265|A|6|0
stairs|8|2023-02-01 13:56:28.076|TAG|-1.808|-0.058|0.437|A|6|0
stairs|8|2023-02-01 13:56:28.084|TAG|-1.546|-0.011|0.5|A|6|0
stairs|8|2023-02-01 13:56:28.092|TAG|-1.285|0.113|0.312|A|6|0
stairs|8|2023-02-01 13:56:28.099|TAG|-0.98|-0.023|0.187|A|6|0
stairs|8|2023-02-01 13:56:28.107|TAG|-0.589|-0.085|-0.464|A|6|0
stairs|8|2023-02-01 13:56:28.115|TAG|-0.562|0.011|-0.855|A|6|0
stairs|8|2023-02-01 13:56:28.122|TAG|-0.589|-0.066|-0.875|A|6|0
stairs|8|2023-02-01 13:56:28.130|TAG|-0.375|-0.125|-1.042|A|6|0
stairs|8|2023-02-01 13:56:28.139|TAG|-0.257|-0.308|-1|A|6|0
stairs|8|2023-02-01 13:56:28.146|TAG|-0.261|-0.488|-0.82|A|6|0
stairs|8|2023-02-01 13:56:28.154|TAG|-0.312|-0.531|-0.816|A|6|0
stairs|8|2023-02-01 13:56:28.162|TAG|-0.335|-0.593|-0.789|A|6|0
stairs|8|2023-02-01 13:56:28.169|TAG|-0.417|-0.738|-0.703|A|6|0
stairs|8|2023-02-01 13:56:28.177|TAG|-0.511|-0.824|-0.55|A|6|0
stairs|8|2023-02-01 13:56:28.185|TAG|-0.007|-1.179|1.351|A|6|0
stairs|8|2023-02-01 13:56:28.193|TAG|-0.242|-1.218|0.683|A|6|0
stairs|8|2023-02-01 13:56:28.202|TAG|-0.574|-1.226|0.617|A|6|0
stairs|8|2023-02-01 13:56:28.208|TAG|-0.402|-0.835|0.75|A|6|0
stairs|8|2023-02-01 13:56:28.216|TAG|-0.019|-0.464|0.769|A|6|0
stairs|8|2023-02-01 13:56:28.224|TAG|0.472|-0.402|0.476|A|6|0
stairs|8|2023-02-01 13:56:28.232|TAG|0.71|-0.375|0.437|A|6|0
stairs|8|2023-02-01 13:56:28.240|TAG|0.914|-0.417|0.167|A|6|0
stairs|8|2023-02-01 13:56:28.247|TAG|0.847|-0.312|0.019|A|6|0
stairs|8|2023-02-01 13:56:28.255|TAG|0.406|-0.261|-0.003|A|6|0
stairs|8|2023-02-01 13:56:28.263|TAG|-0.175|-0.296|-0.156|A|6|0
stairs|8|2023-02-01 13:56:28.271|TAG|-0.738|-0.273|-0.117|A|6|0
stairs|8|2023-02-01 13:56:28.279|TAG|-0.937|-0.187|0.031|A|6|0
stairs|8|2023-02-01 13:56:28.286|TAG|-1.089|-0.242|0.183|A|6|0
stairs|8|2023-02-01 13:56:28.294|TAG|-1.238|-0.035|0.164|A|6|0
stairs|8|2023-02-01 13:56:28.303|TAG|-1.871|-0.136|-0.199|A|6|0
stairs|8|2023-02-01 13:56:28.310|TAG|-2.558|-0.257|-0.429|A|6|0
stairs|8|2023-02-01 13:56:28.318|TAG|-2.585|-0.226|-0.589|A|6|0
stairs|8|2023-02-01 13:56:28.325|TAG|-2.82|0.148|-0.066|A|6|0
stairs|8|2023-02-01 13:56:28.333|TAG|-2.523|0.296|0.25|A|6|0
stairs|8|2023-02-01 13:56:28.341|TAG|-2.242|0.214|0.468|A|6|0
stairs|8|2023-02-01 13:56:28.349|TAG|-1.792|-0.406|0.14|A|6|0
stairs|8|2023-02-01 13:56:28.357|TAG|-1.531|-0.792|0.179|A|6|0
stairs|8|2023-02-01 13:56:28.365|TAG|-1.363|-0.968|0.101|A|6|0
stairs|8|2023-02-01 13:56:28.372|TAG|-1.144|-0.929|-0.015|A|6|0
stairs|8|2023-02-01 13:56:28.380|TAG|-0.925|-1.093|0.242|A|6|0
stairs|8|2023-02-01 13:56:28.388|TAG|-0.566|-1.64|0.101|A|6|0
stairs|8|2023-02-01 13:56:28.396|TAG|-0.609|-1.726|0.105|A|6|0
stairs|8|2023-02-01 13:56:28.405|TAG|-0.664|-1.511|0.167|A|6|0
stairs|8|2023-02-01 13:56:28.412|TAG|-0.621|-1.437|0.066|A|6|0
stairs|8|2023-02-01 13:56:28.419|TAG|-0.589|-1.21|0.25|A|6|0
stairs|8|2023-02-01 13:56:28.427|TAG|-0.472|-1.023|0.101|A|6|0
stairs|8|2023-02-01 13:56:28.435|TAG|-0.421|-0.894|0.007|A|6|0
stairs|8|2023-02-01 13:56:28.443|TAG|-0.441|-0.796|-0.07|A|6|0
stairs|8|2023-02-01 13:56:28.451|TAG|-0.328|-0.636|-0.125|A|6|0
stairs|8|2023-02-01 13:56:28.458|TAG|-0.218|-0.488|-0.296|A|6|0
stairs|8|2023-02-01 13:56:28.466|TAG|-0.125|-0.324|-0.394|A|6|0
stairs|8|2023-02-01 13:56:28.474|TAG|-0.144|-0.082|-0.394|A|6|0
stairs|8|2023-02-01 13:56:28.482|TAG|-0.023|-0.167|-0.597|A|6|0
stairs|8|2023-02-01 13:56:28.490|TAG|0.027|-0.019|-0.566|A|6|0
stairs|8|2023-02-01 13:56:28.497|TAG|-0.015|0.093|-0.531|A|6|0
stairs|8|2023-02-01 13:56:28.505|TAG|-0.105|0.125|-0.5|A|6|0
stairs|8|2023-02-01 13:56:28.513|TAG|-0.203|0.113|-0.261|A|6|0
stairs|8|2023-02-01 13:56:28.521|TAG|-0.398|-0.058|-0.367|A|6|0
stairs|8|2023-02-01 13:56:28.529|TAG|-0.843|-0.468|-0.593|A|6|0
stairs|8|2023-02-01 13:56:28.538|TAG|-1.492|-1.121|-0.894|A|6|0
stairs|8|2023-02-01 13:56:28.544|TAG|-2.078|-1.316|-1.058|A|6|0
stairs|8|2023-02-01 13:56:28.552|TAG|-2.843|-1.621|-0.429|A|6|0
stairs|8|2023-02-01 13:56:28.560|TAG|-2.96|-1.367|0.71|A|6|0
stairs|8|2023-02-01 13:56:28.568|TAG|-2.445|-1.359|1.027|A|6|0
stairs|8|2023-02-01 13:56:28.576|TAG|-2.003|-1.171|1.113|A|6|0
stairs|8|2023-02-01 13:56:28.583|TAG|-1.64|-0.906|0.57|A|6|0
stairs|8|2023-02-01 13:56:28.592|TAG|-0.953|-0.542|-0.023|A|6|0
stairs|8|2023-02-01 13:56:28.599|TAG|-0.714|-0.683|-0.019|A|6|0
stairs|8|2023-02-01 13:56:28.607|TAG|-0.695|-0.652|0.375|A|6|0
stairs|8|2023-02-01 13:56:28.615|TAG|-0.98|-0.578|0.328|A|6|0
stairs|8|2023-02-01 13:56:28.622|TAG|-1.242|-0.441|0.433|A|6|0
stairs|8|2023-02-01 13:56:28.630|TAG|-1.375|-0.394|0.085|A|6|0
stairs|8|2023-02-01 13:56:28.638|TAG|-1.113|-0.398|-0.085|A|6|0
stairs|8|2023-02-01 13:56:28.646|TAG|-0.914|-0.304|-0.281|A|6|0
stairs|8|2023-02-01 13:56:28.654|TAG|-0.738|-0.179|-0.425|A|6|0
stairs|8|2023-02-01 13:56:28.661|TAG|-0.679|-0.035|-0.527|A|6|0
stairs|8|2023-02-01 13:56:28.669|TAG|-0.585|-0.015|-0.609|A|6|0
stairs|8|2023-02-01 13:56:28.677|TAG|-0.421|-0.105|-0.671|A|6|0
stairs|8|2023-02-01 13:56:28.685|TAG|-0.304|-0.203|-0.683|A|6|0
stairs|8|2023-02-01 13:56:28.693|TAG|-0.277|-0.304|-0.609|A|6|0
