SET|PARTICIPANT|TIMESTAMP|SOURCE|X|Y|Z|TYPE|ACTIVITY|IS_FALL
stairs|6|2023-02-01 13:28:43.005|TAG|-0.988|-0.292|-0.14|A|6|0
stairs|6|2023-02-01 13:28:43.013|TAG|-1|-0.3|-0.097|A|6|0
stairs|6|2023-02-01 13:28:43.021|TAG|-1.007|-0.296|-0.07|A|6|0
stairs|6|2023-02-01 13:28:43.029|TAG|-1.019|-0.285|-0.054|A|6|0
stairs|6|2023-02-01 13:28:43.036|TAG|-1.007|-0.25|-0.05|A|6|0
stairs|6|2023-02-01 13:28:43.044|TAG|-1.007|-0.222|-0.046|A|6|0
stairs|6|2023-02-01 13:28:43.052|TAG|-1.023|-0.179|-0.05|A|6|0
stairs|6|2023-02-01 13:28:43.060|TAG|-1.035|-0.132|-0.05|A|6|0
stairs|6|2023-02-01 13:28:43.068|TAG|-1.062|-0.121|-0.05|A|6|0
stairs|6|2023-02-01 13:28:43.075|TAG|-1.074|-0.121|-0.07|A|6|0
stairs|6|2023-02-01 13:28:43.083|TAG|-1.093|-0.105|-0.066|A|6|0
stairs|6|2023-02-01 13:28:43.091|TAG|-1.109|-0.085|-0.093|A|6|0
stairs|6|2023-02-01 13:28:43.099|TAG|-1.109|-0.078|-0.121|A|6|0
stairs|6|2023-02-01 13:28:43.107|TAG|-1.113|-0.058|-0.14|A|6|0
stairs|6|2023-02-01 13:28:43.114|TAG|-1.082|-0.058|-0.175|A|6|0
stairs|6|2023-02-01 13:28:43.122|TAG|-1.074|-0.031|-0.218|A|6|0
stairs|6|2023-02-01 13:28:43.130|TAG|-1.05|-0.015|-0.226|A|6|0
stairs|6|2023-02-01 13:28:43.138|TAG|-1.031|0.007|-0.226|A|6|0
stairs|6|2023-02-01 13:28:43.146|TAG|-1.007|0.007|-0.214|A|6|0
stairs|6|2023-02-01 13:28:43.153|TAG|-0.98|0.015|-0.187|A|6|0
stairs|6|2023-02-01 13:28:43.161|TAG|-0.964|0|-0.183|A|6|0
stairs|6|2023-02-01 13:28:43.169|TAG|-0.925|0.003|-0.16|A|6|0
stairs|6|2023-02-01 13:28:43.177|TAG|-0.863|-0.003|-0.128|A|6|0
stairs|6|2023-02-01 13:28:43.185|TAG|-0.847|-0.023|-0.105|A|6|0
stairs|6|2023-02-01 13:28:43.192|TAG|-0.816|-0.042|-0.097|A|6|0
stairs|6|2023-02-01 13:28:43.200|TAG|-0.808|-0.058|-0.093|A|6|0
stairs|6|2023-02-01 13:28:43.208|TAG|-0.796|-0.05|-0.089|A|6|0
stairs|6|2023-02-01 13:28:43.216|TAG|-0.812|-0.074|-0.105|A|6|0
stairs|6|2023-02-01 13:28:43.224|TAG|-0.843|-0.082|-0.121|A|6|0
stairs|6|2023-02-01 13:28:43.232|TAG|-0.886|-0.078|-0.148|A|6|0
stairs|6|2023-02-01 13:28:43.239|TAG|-0.925|-0.082|-0.16|A|6|0
stairs|6|2023-02-01 13:28:43.247|TAG|-0.988|-0.085|-0.195|A|6|0
stairs|6|2023-02-01 13:28:43.255|TAG|-1.019|-0.089|-0.222|A|6|0
stairs|6|2023-02-01 13:28:43.263|TAG|-1.027|-0.093|-0.234|A|6|0
stairs|6|2023-02-01 13:28:43.271|TAG|-1.089|-0.097|-0.242|A|6|0
stairs|6|2023-02-01 13:28:43.279|TAG|-1.105|-0.109|-0.234|A|6|0
stairs|6|2023-02-01 13:28:43.286|TAG|-1.132|-0.113|-0.312|A|6|0
stairs|6|2023-02-01 13:28:43.294|TAG|-1.125|-0.117|-0.246|A|6|0
stairs|6|2023-02-01 13:28:43.302|TAG|-1.109|-0.121|-0.222|A|6|0
stairs|6|2023-02-01 13:28:43.310|TAG|-1.074|-0.105|-0.207|A|6|0
stairs|6|2023-02-01 13:28:43.318|TAG|-1.019|-0.101|-0.187|A|6|0
stairs|6|2023-02-01 13:28:43.325|TAG|-0.972|-0.089|-0.167|A|6|0
stairs|6|2023-02-01 13:28:43.333|TAG|-0.933|-0.089|-0.14|A|6|0
stairs|6|2023-02-01 13:28:43.341|TAG|-0.882|-0.085|-0.148|A|6|0
stairs|6|2023-02-01 13:28:43.349|TAG|-0.804|-0.101|-0.148|A|6|0
stairs|6|2023-02-01 13:28:43.357|TAG|-0.781|-0.093|-0.16|A|6|0
stairs|6|2023-02-01 13:28:43.364|TAG|-0.769|-0.082|-0.171|A|6|0
stairs|6|2023-02-01 13:28:43.372|TAG|-0.765|-0.058|-0.144|A|6|0
stairs|6|2023-02-01 13:28:43.380|TAG|-0.789|-0.042|-0.16|A|6|0
stairs|6|2023-02-01 13:28:43.388|TAG|-0.828|-0.027|-0.164|A|6|0
stairs|6|2023-02-01 13:28:43.396|TAG|-0.89|-0.023|-0.179|A|6|0
stairs|6|2023-02-01 13:28:43.403|TAG|-0.925|-0.011|-0.195|A|6|0
