SET|PARTICIPANT|TIMESTAMP|SOURCE|X|Y|Z|TYPE|ACTIVITY|IS_FALL
stairs|1|2023-02-01 11:31:12.001|TAG|-0.855|-0.21|-0.46|A|6|0
stairs|1|2023-02-01 11:31:12.009|TAG|-0.839|-0.214|-0.457|A|6|0
stairs|1|2023-02-01 11:31:12.017|TAG|-0.828|-0.23|-0.476|A|6|0
stairs|1|2023-02-01 11:31:12.025|TAG|-0.824|-0.246|-0.476|A|6|0
stairs|1|2023-02-01 11:31:12.033|TAG|-0.808|-0.265|-0.496|A|6|0
stairs|1|2023-02-01 11:31:12.040|TAG|-0.812|-0.269|-0.476|A|6|0
stairs|1|2023-02-01 11:31:12.048|TAG|-0.824|-0.261|-0.476|A|6|0
stairs|1|2023-02-01 11:31:12.057|TAG|-0.808|-0.238|-0.453|A|6|0
stairs|1|2023-02-01 11:31:12.064|TAG|-0.816|-0.25|-0.421|A|6|0
stairs|1|2023-02-01 11:31:12.072|TAG|-0.82|-0.261|-0.433|A|6|0
stairs|1|2023-02-01 11:31:12.080|TAG|-0.812|-0.265|-0.437|A|6|0
stairs|1|2023-02-01 11:31:12.087|TAG|-0.835|-0.273|-0.437|A|6|0
stairs|1|2023-02-01 11:31:12.095|TAG|-0.859|-0.273|-0.457|A|6|0
stairs|1|2023-02-01 11:31:12.103|TAG|-0.886|-0.281|-0.457|A|6|0
stairs|1|2023-02-01 11:31:12.111|TAG|-0.906|-0.3|-0.464|A|6|0
stairs|1|2023-02-01 11:31:12.118|TAG|-0.917|-0.304|-0.488|A|6|0
stairs|1|2023-02-01 11:31:12.127|TAG|-0.91|-0.312|-0.492|A|6|0
stairs|1|2023-02-01 11:31:12.134|TAG|-0.91|-0.296|-0.507|A|6|0
stairs|1|2023-02-01 11:31:12.142|TAG|-0.921|-0.273|-0.507|A|6|0
stairs|1|2023-02-01 11:31:12.150|TAG|-0.917|-0.246|-0.48|A|6|0
stairs|1|2023-02-01 11:31:12.158|TAG|-0.894|-0.207|-0.46|A|6|0
stairs|1|2023-02-01 11:31:12.165|TAG|-0.902|-0.191|-0.449|A|6|0
stairs|1|2023-02-01 11:31:12.173|TAG|-0.875|-0.16|-0.441|A|6|0
stairs|1|2023-02-01 11:31:12.181|TAG|-0.859|-0.136|-0.433|A|6|0
stairs|1|2023-02-01 11:31:12.189|TAG|-0.843|-0.128|-0.437|A|6|0
stairs|1|2023-02-01 11:31:12.197|TAG|-0.851|-0.109|-0.449|A|6|0
stairs|1|2023-02-01 11:31:12.205|TAG|-0.847|-0.109|-0.449|A|6|0
stairs|1|2023-02-01 11:31:12.212|TAG|-0.867|-0.117|-0.46|A|6|0
stairs|1|2023-02-01 11:31:12.220|TAG|-0.894|-0.125|-0.464|A|6|0
stairs|1|2023-02-01 11:31:12.228|TAG|-0.902|-0.144|-0.453|A|6|0
stairs|1|2023-02-01 11:31:12.236|TAG|-0.917|-0.164|-0.449|A|6|0
stairs|1|2023-02-01 11:31:12.244|TAG|-0.949|-0.195|-0.449|A|6|0
stairs|1|2023-02-01 11:31:12.251|TAG|-0.949|-0.214|-0.449|A|6|0
stairs|1|2023-02-01 11:31:12.260|TAG|-0.882|-0.226|-0.437|A|6|0
stairs|1|2023-02-01 11:31:12.267|TAG|-0.914|-0.257|-0.414|A|6|0
stairs|1|2023-02-01 11:31:12.275|TAG|-0.898|-0.261|-0.406|A|6|0
stairs|1|2023-02-01 11:31:12.283|TAG|-0.906|-0.253|-0.394|A|6|0
stairs|1|2023-02-01 11:31:12.290|TAG|-0.898|-0.253|-0.378|A|6|0
stairs|1|2023-02-01 11:31:12.298|TAG|-0.882|-0.242|-0.386|A|6|0
stairs|1|2023-02-01 11:31:12.306|TAG|-0.89|-0.218|-0.394|A|6|0
stairs|1|2023-02-01 11:31:12.314|TAG|-0.882|-0.199|-0.402|A|6|0
stairs|1|2023-02-01 11:31:12.322|TAG|-0.882|-0.183|-0.398|A|6|0
stairs|1|2023-02-01 11:31:12.330|TAG|-0.875|-0.171|-0.41|A|6|0
