SET|PARTICIPANT|TIMESTAMP|SOURCE|X|Y|Z|TYPE|ACTIVITY|IS_FALL
stairs|5|2023-02-01 13:09:58.539|TAG|-0.89|-0.035|-0.222|A|5|0
stairs|5|2023-02-01 13:09:58.547|TAG|-0.863|-0.023|-0.273|A|5|0
stairs|5|2023-02-01 13:09:58.555|TAG|-0.839|-0.003|-0.324|A|5|0
stairs|5|2023-02-01 13:09:58.563|TAG|-0.753|-0.054|-0.355|A|5|0
stairs|5|2023-02-01 13:09:58.571|TAG|-0.82|-0.015|-0.351|A|5|0
stairs|5|2023-02-01 13:09:58.579|TAG|-0.832|-0.039|-0.308|A|5|0
stairs|5|2023-02-01 13:09:58.586|TAG|-0.855|-0.105|-0.265|A|5|0
stairs|5|2023-02-01 13:09:58.594|TAG|-0.871|-0.152|-0.21|A|5|0
stairs|5|2023-02-01 13:09:58.602|TAG|-0.886|-0.171|-0.164|A|5|0
stairs|5|2023-02-01 13:09:58.610|TAG|-0.91|-0.183|-0.109|A|5|0
stairs|5|2023-02-01 13:09:58.618|TAG|-0.914|-0.199|-0.117|A|5|0
stairs|5|2023-02-01 13:09:58.626|TAG|-0.886|-0.183|-0.195|A|5|0
stairs|5|2023-02-01 13:09:58.633|TAG|-0.878|-0.164|-0.269|A|5|0
stairs|5|2023-02-01 13:09:58.641|TAG|-0.843|-0.14|-0.296|A|5|0
stairs|5|2023-02-01 13:09:58.649|TAG|-0.816|-0.101|-0.335|A|5|0
stairs|5|2023-02-01 13:09:58.657|TAG|-0.828|-0.089|-0.32|A|5|0
stairs|5|2023-02-01 13:09:58.664|TAG|-0.832|-0.066|-0.253|A|5|0
stairs|5|2023-02-01 13:09:58.673|TAG|-0.875|-0.066|-0.203|A|5|0
stairs|5|2023-02-01 13:09:58.680|TAG|-0.89|-0.074|-0.164|A|5|0
stairs|5|2023-02-01 13:09:58.688|TAG|-0.917|-0.039|-0.148|A|5|0
stairs|5|2023-02-01 13:09:58.696|TAG|-0.933|-0.011|-0.152|A|5|0
stairs|5|2023-02-01 13:09:58.705|TAG|-0.964|0.023|-0.183|A|5|0
stairs|5|2023-02-01 13:09:58.711|TAG|-0.984|0.082|-0.203|A|5|0
stairs|5|2023-02-01 13:09:58.719|TAG|-1.011|0.132|-0.191|A|5|0
stairs|5|2023-02-01 13:09:58.727|TAG|-1.05|0.183|-0.183|A|5|0
stairs|5|2023-02-01 13:09:58.735|TAG|-1.042|0.222|-0.191|A|5|0
