SET|PARTICIPANT|TIMESTAMP|SOURCE|X|Y|Z|TYPE|ACTIVITY|IS_FALL
stairs|3|2023-02-01 12:29:53.007|TAG|-1.046|-0.289|0.226|A|6|0
stairs|3|2023-02-01 12:29:53.015|TAG|-1.015|-0.304|0.214|A|6|0
stairs|3|2023-02-01 12:29:53.023|TAG|-0.996|-0.343|0.218|A|6|0
stairs|3|2023-02-01 12:29:53.031|TAG|-0.968|-0.355|0.214|A|6|0
stairs|3|2023-02-01 12:29:53.039|TAG|-0.937|-0.367|0.222|A|6|0
stairs|3|2023-02-01 12:29:53.046|TAG|-0.917|-0.386|0.234|A|6|0
stairs|3|2023-02-01 12:29:53.054|TAG|-0.89|-0.39|0.253|A|6|0
stairs|3|2023-02-01 12:29:53.062|TAG|-0.878|-0.398|0.261|A|6|0
stairs|3|2023-02-01 12:29:53.070|TAG|-0.843|-0.414|0.261|A|6|0
stairs|3|2023-02-01 12:29:53.078|TAG|-0.843|-0.41|0.238|A|6|0
stairs|3|2023-02-01 12:29:53.085|TAG|-0.835|-0.414|0.253|A|6|0
stairs|3|2023-02-01 12:29:53.093|TAG|-0.839|-0.394|0.253|A|6|0
stairs|3|2023-02-01 12:29:53.101|TAG|-0.839|-0.425|0.273|A|6|0
stairs|3|2023-02-01 12:29:53.109|TAG|-0.839|-0.421|0.242|A|6|0
stairs|3|2023-02-01 12:29:53.117|TAG|-0.839|-0.421|0.25|A|6|0
stairs|3|2023-02-01 12:29:53.124|TAG|-0.839|-0.421|0.257|A|6|0
stairs|3|2023-02-01 12:29:53.132|TAG|-0.851|-0.437|0.253|A|6|0
stairs|3|2023-02-01 12:29:53.140|TAG|-0.863|-0.425|0.242|A|6|0
stairs|3|2023-02-01 12:29:53.148|TAG|-0.871|-0.429|0.246|A|6|0
stairs|3|2023-02-01 12:29:53.156|TAG|-0.882|-0.417|0.25|A|6|0
stairs|3|2023-02-01 12:29:53.163|TAG|-0.871|-0.41|0.25|A|6|0
stairs|3|2023-02-01 12:29:53.171|TAG|-0.863|-0.425|0.273|A|6|0
stairs|3|2023-02-01 12:29:53.179|TAG|-0.863|-0.425|0.269|A|6|0
stairs|3|2023-02-01 12:29:53.187|TAG|-0.855|-0.414|0.296|A|6|0
stairs|3|2023-02-01 12:29:53.195|TAG|-0.843|-0.414|0.273|A|6|0
stairs|3|2023-02-01 12:29:53.203|TAG|-0.843|-0.39|0.285|A|6|0
stairs|3|2023-02-01 12:29:53.210|TAG|-0.855|-0.41|0.312|A|6|0
stairs|3|2023-02-01 12:29:53.218|TAG|-0.867|-0.406|0.292|A|6|0
stairs|3|2023-02-01 12:29:53.226|TAG|-0.878|-0.41|0.32|A|6|0
stairs|3|2023-02-01 12:29:53.234|TAG|-0.878|-0.417|0.316|A|6|0
stairs|3|2023-02-01 12:29:53.242|TAG|-0.882|-0.421|0.371|A|6|0
stairs|3|2023-02-01 12:29:53.249|TAG|-0.882|-0.414|0.308|A|6|0
stairs|3|2023-02-01 12:29:53.257|TAG|-0.859|-0.417|0.289|A|6|0
stairs|3|2023-02-01 12:29:53.265|TAG|-0.863|-0.406|0.296|A|6|0
stairs|3|2023-02-01 12:29:53.273|TAG|-0.875|-0.378|0.316|A|6|0
stairs|3|2023-02-01 12:29:53.281|TAG|-0.863|-0.378|0.324|A|6|0
stairs|3|2023-02-01 12:29:53.288|TAG|-0.863|-0.375|0.328|A|6|0
stairs|3|2023-02-01 12:29:53.296|TAG|-0.859|-0.367|0.304|A|6|0
stairs|3|2023-02-01 12:29:53.304|TAG|-0.835|-0.359|0.324|A|6|0
stairs|3|2023-02-01 12:29:53.312|TAG|-0.812|-0.359|0.32|A|6|0
stairs|3|2023-02-01 12:29:53.320|TAG|-0.808|-0.347|0.335|A|6|0
stairs|3|2023-02-01 12:29:53.327|TAG|-0.789|-0.355|0.359|A|6|0
stairs|3|2023-02-01 12:29:53.335|TAG|-0.785|-0.367|0.343|A|6|0
stairs|3|2023-02-01 12:29:53.343|TAG|-0.785|-0.375|0.343|A|6|0
stairs|3|2023-02-01 12:29:53.351|TAG|-0.781|-0.398|0.328|A|6|0
stairs|3|2023-02-01 12:29:53.359|TAG|-0.843|-0.421|0.265|A|6|0
stairs|3|2023-02-01 12:29:53.367|TAG|-0.949|-0.507|0.234|A|6|0
stairs|3|2023-02-01 12:29:53.374|TAG|-1.019|-0.574|0.179|A|6|0
stairs|3|2023-02-01 12:29:53.382|TAG|-1.082|-0.652|0.113|A|6|0
stairs|3|2023-02-01 12:29:53.390|TAG|-1.082|-0.722|0.062|A|6|0
stairs|3|2023-02-01 12:29:53.398|TAG|-1.062|-0.761|-0.039|A|6|0
